"Nom de domaine";"Pays BE";"Departement BE";"Ville BE";"Nom BE";"Sous domaine";"Type du titulaire";"Pays titulaire";"Departement titulaire";"Domaine IDN";"Date de création";"Date de retrait du WHOIS"
aaaaaaaaaa.fr;DE;99;HOMBURG;1API GmbH;fr;PERSON;FR;14;0;12-04-2018;
aaaaaaaaa.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;22-05-2019;21-07-2020
aaa-aaa.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;94;0;03-05-2013;31-05-2019
aaaaaa.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;31;0;29-10-2013;
aaaaa-asso.fr;FR;75;PARIS;GANDI;fr;ORG;FR;93;0;10-03-2011;
aaaaa.fr;FR;13;AIX EN PROVENCE;HOSTEUR;fr;PERSON;FR;59;0;06-08-2011;
aaaa-asso.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;21;0;02-11-2015;
aaaa.asso.fr;FR;59;ROUBAIX;OVH;asso.fr;ORG;FR;78;0;28-12-2010;26-02-2016
aaa-accueil-animaux.fr;FR;92;BOULOGNE BILLANCOURT;PAGESJAUNES;fr;ORG;FR;44;0;18-06-2013;04-06-2016
aaaac.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;16;0;05-07-2010;04-08-2020
aaaa-cifr.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;93;0;16-11-2011;17-12-2014
aaaacnil.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;05-04-2017;07-04-2017
aaa-actuaire.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;06-12-2019;
aaaadom.fr;DK;99;COPENHAGUE S;Ascio Technologies Inc. Danmark - filial af Ascio Technologies Inc. USA;fr;ORG;FR;75;0;22-11-2004;23-12-2017
aaa-aero.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;30-07-2001;
aaaa-expertcomptable.fr;FR;79;NIORT CEDEX;CYBERSCOPE;fr;;;;0;19-04-2013;10-05-2014
a-a-a-a.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;73;0;18-01-2018;17-02-2019
aaaa.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;94;0;09-06-2009;
aaa-agere.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;29;0;18-09-2009;15-03-2015
aaaa-grenoble.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;DE;99;0;03-09-2014;25-11-2018
aaaah.fr;FR;59;ROUBAIX;OVH;fr;;;;0;28-03-2013;27-05-2014
aaaaladistillerie.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;78;0;29-03-2015;28-05-2016
aaa-aligator.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;13;0;05-09-2013;08-10-2015
aaaammjj.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;49;0;25-07-2009;11-04-2015
aaaanges.fr;DK;99;COPENHAGUE S;Ascio Technologies Inc. Danmark - filial af Ascio Technologies Inc. USA;fr;PERSON;FR;91;0;10-02-2018;13-03-2019
aaaap.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;13;0;17-10-2017;16-11-2018
aaa-aphp.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;30-08-2017;
aaaaphp7.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;75;0;22-09-2018;
aaaaps.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;31-05-2007;30-07-2015
aaa-artauction.tm.fr;FR;75;PARIS;GANDI;tm.fr;ORG;FR;69;0;10-03-1997;21-11-2014
aaaas.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;74;0;15-04-2015;
aaaa-show-room.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;78;0;29-03-2015;28-05-2016
aaa-asso.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;18-06-2015;
aaa.asso.fr;FR;75;PARIS CEDEX 15;ORANGE;asso.fr;ORG;FR;75;0;16-12-1997;
aaa-automatismes.fr;FR;75;PARIS;GANDI;fr;ORG;FR;69;0;26-03-2016;
aaa-automatismes-portails-garages.fr;FR;92;BOULOGNE BILLANCOURT;PAGESJAUNES;fr;ORG;FR;69;0;21-07-2014;06-06-2016
aaaautoteam.fr;FR;75;PARIS;GANDI;fr;ORG;BE;99;0;01-10-2014;29-11-2019
aaa-aux-gites-du-moustero.fr;DE;99;REGENSBURG;InterNetX GmbH;fr;ORG;FR;56;0;24-04-2017;24-05-2020
aaa-avocat.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;25-03-2019;
aaa-avocats-specialistes.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;09-01-2017;
aaa-avolsheim.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;67;0;01-06-2017;
aaaazbateaux.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;;;;0;17-03-2012;17-04-2014
aaa-bambou.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;30;0;03-05-2012;02-07-2016
aaabaous.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;06;0;25-04-2017;25-05-2018
aaa-batterie.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;75;0;05-07-2006;04-07-2017
aaa-bechu.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;04-09-2000;
aaab.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;27-05-2003;
aaabial.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;62;0;31-01-2013;31-03-2020
aa-abm.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;13;0;20-02-2012;
aaa-boutique.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;FR;13;0;21-02-2015;
aaabs.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;64;0;25-08-2017;24-10-2018
aaacademytennis.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;95;0;31-10-2017;30-12-2019
aaacanyoning.fr;FR;33;PESSAC;BDL Systemes dba ProDomaines;fr;ORG;FR;38;0;20-08-2020;
aaacanyonisme.fr;FR;33;PESSAC;BDL Systemes dba ProDomaines;fr;ORG;FR;38;0;20-08-2020;
aaacard.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;17-06-2013;17-07-2020
aaacarredecom.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;94;0;08-09-2012;07-11-2016
aaa-carrelage-coignieres.fr;FR;75;PARIS;GANDI;fr;ORG;FR;93;0;27-09-2012;
aaacarrelages.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;60;0;14-02-2017;
aaa-carrelages-montreuil.fr;FR;75;PARIS;GANDI;fr;ORG;FR;93;0;12-06-2017;
aaacaves.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;71;0;03-04-2014;03-12-2017
aaaccc.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;75;0;18-01-2018;18-03-2019
aaacc.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;75;0;18-01-2018;18-03-2019
aaa-c.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;75;0;21-05-2018;
aaac.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;18-02-2005;
aaacge.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;;;;0;02-03-2012;28-04-2014
aaacheap.fr;GB;99;LONDON;TLD Registrar Solutions Ltd;fr;PERSON;MT;99;0;16-07-2019;
aaachede.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;11-03-2013;
aaach.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;FR;25;0;15-08-2015;29-11-2019
